I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
,0.2383,,,,,,,,-1.5209,-0.6115,0.1241
,0.2743,,,,,,,,-1.344,-0.5404,0.1429
,0.2938,,,,,,,,-1.2562,-0.5051,0.153
,0.337,,,,,,,,-1.1066,-0.4449,0.1755
,0.3644,,,,,,,,-1.0301,-0.4142,0.1898
,0.404,,,,,,,,-0.8638,-0.3473,0.2104
,0.4842,,,,,,,,-0.5506,-0.2214,0.2522
,0.5022,,,,,,,,-0.4996,-0.2009,0.2616
,0.5341,,,,,,,,-0.3968,-0.1595,0.2782
,0.5799,,,,,,,,-0.1925,-0.0774,0.3021
,0.5978,,,,,,,,-0.123,-0.0494,0.3113
,0.6329,,,,,,,,0.0286,0.0115,0.3297
,0.6935,,,,,,,,0.2169,0.0872,0.3612
,0.7299,,,,,,,,0.308,0.1238,0.3802
,0.799,,,,,,,,0.5151,0.2071,0.4161
,0.8274,,,,,,,,0.6263,0.2518,0.4309
,0.8466,,,,,,,,0.6984,0.2808,0.4409
,0.8752,,,,,,,,0.8308,0.334,0.4558
,0.8911,,,,,,,,0.8818,0.3545,0.4641
,0.9237,,,,,,,,0.9716,0.3906,0.4811
,1.0095,,,,,,,,1.1889,0.478,0.5258
,1.0188,,,,,,,,1.2353,0.4967,0.5306
,1.0361,,,,,,,,1.2741,0.5123,0.5397
,1.0573,,,,,,,,1.3675,0.5498,0.5507
,1.0653,,,,,,,,1.4144,0.5687,0.5548
,1.077,,,,,,,,1.4438,0.5805,0.5609
,1.1052,,,,,,,,1.491,0.5995,0.5756
,1.112,,,,,,,,1.5275,0.6142,0.5792
,1.1131,,,,,,,,1.6013,0.6438,0.5797
,1.12,,,,,,,,1.5094,0.6069,0.5833
,1.123,,,,,,,,1.4775,0.594,0.5833
,1.1411,,,,,,,,1.4041,0.5645,0.5833
,1.12,,,,,,,,1.3531,0.544,0.5833
,1.1148,,,,,,,,1.2714,0.5112,0.5806
,1.0712,,,,,,,,0.9664,0.3886,0.5579
,1.0593,,,,,,,,0.8749,0.3518,0.5517
,1.0145,,,,,,,,0.6549,0.2633,0.5284
,0.9986,,,,,,,,0.5318,0.2138,0.5201
,0.9776,,,,,,,,0.4307,0.1731,0.5092
,0.8992,,,,,,,,0.054,0.0217,0.4683
,0.8389,,,,,,,,-0.2396,-0.0963,0.4369
,0.8174,,,,,,,,-0.3865,-0.1554,0.4257
,0.7182,,,,,,,,-0.8008,-0.322,0.374
,0.6868,,,,,,,,-0.9027,-0.363,0.3577
,0.6552,,,,,,,,-1.0377,-0.4172,0.3412
,0.471,,,,,,,,-1.8246,-0.7336,0.2453
,0.4472,,,,,,,,-1.9275,-0.775,0.2329
,0.4208,,,,,,,,-2.0623,-0.8292,0.2192
,0.3114,,,,,,,,-2.4383,-0.9803,0.1622
,0.2869,,,,,,,,-2.542,-1.022,0.1494
,0.2226,,,,,,,,-2.7498,-1.1056,0.1159
,0.1039,,,,,,,,-3.2828,-1.3199,0.0541
,0.08,,,,,,,,-3.4103,-1.3711,0.0417
